county,year,energy_use
Saguache,2037,40741169.40244505
Saguache,2038,40728642.40041202
Saguache,2039,40717021.33375644
Otero,1990,180542783.8508484
Otero,1991,182233276.10488904
Otero,1992,181508779.4245859
Otero,1993,182778884.7159815
Otero,1994,183261882.50285026
Otero,1995,185131262.82610157
Otero,1996,185489038.96452287
Otero,1997,185712649.05103618
Otero,1998,183422881.76513985
Otero,1999,182537385.82254714
Otero,2000,181070503.65501982
Otero,2001,177993628.86182383
Otero,2002,175524973.50913188
Otero,2003,175909582.85766643
Otero,2004,174961476.09281772
Otero,2005,173253095.03096163
Otero,2006,171669935.61862633
Otero,2007,169380168.33657604
Otero,2008,168628838.44302914
Otero,2009,168548338.8092009
Otero,2010,168825615.31755084
Otero,2011,168432061.5664412
Otero,2012,166902568.57553095
Otero,2013,165516186.03999805
Otero,2014,164559134.87042773
Otero,2015,163369529.20567787
Otero,2016,163593139.2942485
Otero,2017,163991374.41292918
Otero,2018,164200345.99230045
Otero,2019,164314649.7272924
Otero,2020,164341862.24208814
Otero,2021,164287612.2987651
Otero,2022,164037832.5924489
Otero,2023,163599006.3795802
Otero,2024,162973308.6228689
Otero,2025,162174655.43263638
Otero,2026,161312877.13683233
Otero,2027,160391633.2093868
Otero,2028,159292811.7210105
Otero,2029,158199580.11272794
Otero,2030,157115786.1394677
Otero,2031,156027391.9565844
Otero,2032,154936693.75917903
Otero,2033,153842306.0292545
Otero,2034,152750159.72575548
Otero,2035,151667452.26850313
Otero,2036,150595778.45467022
Otero,2037,149542830.61553255
Otero,2038,148504998.79477322
Otero,2039,147483181.54403302
Routt,1990,147193661.1570248
Routt,1991,153011181.81818184
Routt,1992,157415876.03305787
Routt,1993,165435743.8016529
Routt,1994,172645314.0495868
Routt,1995,179273132.23140496
Routt,1996,184072586.77685952
Routt,1997,188227958.67768598
Routt,1998,193276735.5371901
Routt,1999,199790280.99173555
Routt,2000,209035983.4710744
Routt,2001,212297950.41446972
Routt,2002,217035074.37878364
Routt,2003,219486743.79969993
Routt,2004,221200834.71211517
Routt,2005,222862983.46644118
Routt,2006,227361173.5542383
Routt,2007,232856652.89547074
Routt,2008,238217082.64535525
Routt,2009,242310123.9683966
Routt,2010,243619066.1157025
Routt,2011,241395942.14339992
Routt,2012,241603710.7462222
Routt,2013,244647520.66161427
Routt,2014,249426198.3466399
Routt,2015,252542727.2735376
Routt,2016,256376057.8550834
Routt,2017,261123266.72858968
Routt,2018,265805466.34253842
Routt,2019,270395154.56262076
Routt,2020,274892031.6175447
Routt,2021,279432685.5404175
Routt,2022,284277968.44059825
Routt,2023,289586587.4636696
Routt,2024,295913406.8612838
Routt,2025,303239895.9127006
Routt,2026,310950136.71563154
Routt,2027,318668198.9670734
Routt,2028,326441548.66167206
Routt,2029,334176704.4994583
Routt,2030,341946115.4034538
Routt,2031,349780103.0567846
Routt,2032,357513040.25482166
Routt,2033,365147961.41422224
Routt,2034,372662701.68761593
Routt,2035,380033310.13831836
Routt,2036,387248008.1542696
Routt,2037,394303602.04832035
Routt,2038,401198651.070861
Routt,2039,407928147.3109838
Mesa,1990,650606591.8075099
Mesa,1991,667418958.102882
Mesa,1992,677278319.3133194
Mesa,1993,694612160.9900616
Mesa,1994,714469943.5126351
Mesa,1995,732930172.0131367
Mesa,1996,747698354.8135381
Mesa,1997,763175744.1326027
Mesa,1998,781065826.2161397
Mesa,1999,796605792.5809687
Mesa,2000,818014095.2374827
Mesa,2001,833415001.4971367
Mesa,2002,846785630.2977155
Mesa,2003,863229487.3166332
Mesa,2004,880431221.871731
Mesa,2005,896930702.9313273
Mesa,2006,925639660.9562261
Mesa,2007,955273368.5858043
Mesa,2008,978148755.3659965
Mesa,2009,1006760371.2884165
Mesa,2010,1019220156.3853232
Mesa,2011,1029795677.1345271
Mesa,2012,1031068077.0556136
Mesa,2013,1030657849.7686049
Mesa,2014,1030783003.8307225
Mesa,2015,1036157676.7905803
Mesa,2016,1048033409.4526336
Mesa,2017,1056877374.3717674
Mesa,2018,1068319036.8413603
Mesa,2019,1079718138.260073
Mesa,2020,1091076685.300288
Mesa,2021,1102418317.0985174
Mesa,2022,1113756859.124171
Mesa,2023,1126867251.2643447
Mesa,2024,1141078785.1382384
Mesa,2025,1157486859.394721
Mesa,2026,1175422300.1668925
Mesa,2027,1194776993.7914257
Mesa,2028,1215550993.7440894
Mesa,2029,1237735446.0982473
Mesa,2030,1259944654.0978866
Mesa,2031,1282149993.451823
Mesa,2032,1304335956.0008407
Mesa,2033,1326471666.2847223
Mesa,2034,1348530619.9420958
Mesa,2035,1370516714.9552
Mesa,2036,1392383192.200885
Mesa,2037,1414103301.0075738
Mesa,2038,1435651781.4756074
Mesa,2039,1457018459.7021322
Montezuma,1990,199476021.99528673
Montezuma,1991,203642455.6166536
Montezuma,1992,209966888.19062585
Montezuma,1993,220553902.85415033
Montezuma,1994,228512859.38727418
Montezuma,1995,236728211.83555907
Montezuma,1996,241920229.11757007
Montezuma,1997,245434989.78790262
Montezuma,1998,246930632.626342
Montezuma,1999,251246630.5315528
Montezuma,2000,254814807.01754388
Montezuma,2001,255039153.44544628
Montezuma,2002,257560379.93918827
Montezuma,2003,260434150.82685298
Montezuma,2004,262880595.1832668
Montezuma,2005,262837862.52732134
Montezuma,2006,267260692.0664133
Montezuma,2007,268969998.1650297
Montezuma,2008,269215710.921546
Montezuma,2009,270978432.83432525
Montezuma,2010,272580907.3055774
Montezuma,2011,272025382.82432044
Montezuma,2012,271790353.22951484
Montezuma,2013,274129965.9591091
Montezuma,2014,275689707.7802916
Montezuma,2015,279140369.4615458
Montezuma,2016,287441187.2169891
Montezuma,2017,293201333.8568613
Montezuma,2018,298972913.5207965
Montezuma,2019,304821842.9167133
Montezuma,2020,310751691.0738277
Montezuma,2021,316771463.8932648
Montezuma,2022,322889884.7100958
Montezuma,2023,329104037.97651213
Montezuma,2024,335414779.65326875
Montezuma,2025,341803083.1232333
Montezuma,2026,348289967.85027564
Montezuma,2027,354796207.1746738
Montezuma,2028,361314661.5831622
Montezuma,2029,367839065.0460014
Montezuma,2030,374369365.16512775
Montezuma,2031,380899216.6258027
Montezuma,2032,387409189.7110679
Montezuma,2033,393894481.23178667
Montezuma,2034,400373326.64981353
Montezuma,2035,406839054.30103534
Montezuma,2036,413292932.56717813
Montezuma,2037,419737664.9010853
Montezuma,2038,426173948.35468787
Montezuma,2039,432602768.7479516
Jackson,1990,14725291.06029106
Jackson,1991,14312432.432432432
Jackson,1992,14468401.247401247
Jackson,1993,14936307.692307692
Jackson,1994,15101451.143451143
Jackson,1995,14798688.149688149
Jackson,1996,14615195.426195426
Jackson,1997,14670243.243243244
